                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  0.328,                0.24352,                0.95168,                0.99952,                      1,                  0.995,                0.99411,                0.16222,                0.12902,                0.78553,             0.00075932,             0.00075932,             0.00075932
                     57,                0.32266,                0.23187,                0.95046,                0.99955,                      1,                  0.995,                 0.9944,                0.15421,                 0.1256,                0.78321,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.3261,                0.23116,                0.95951,                0.99956,                      1,                  0.995,                0.99409,                0.17237,                0.12741,                0.79496,             0.00072631,             0.00072631,             0.00072631
                     59,                0.33163,                0.23567,                 0.9524,                0.99898,                      1,                  0.995,                0.99344,                0.15704,                0.15098,                0.78819,             0.00070981,             0.00070981,             0.00070981
                     60,                0.31625,                0.22555,                0.95172,                0.99929,                      1,                  0.995,                0.99411,                0.15798,                0.14913,                0.78691,             0.00069331,             0.00069331,             0.00069331
                     61,                0.29898,                0.22022,                 0.9375,                 0.9994,                      1,                  0.995,                 0.9943,                 0.1705,                0.15323,                0.79136,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.3243,                0.23197,                0.95155,                 0.9995,                      1,                  0.995,                 0.9942,                0.17691,                0.16665,                 0.7996,              0.0006603,              0.0006603,              0.0006603
                     63,                0.32332,                0.23194,                0.95086,                0.99934,                      1,                  0.995,                0.99442,                0.15507,                 0.1459,                0.78608,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.3301,                0.23529,                0.95974,                0.99931,                      1,                  0.995,                0.99437,                0.16077,                0.12443,                0.78754,             0.00062729,             0.00062729,             0.00062729
                     65,                0.30675,                0.22254,                0.94126,                0.99931,                      1,                  0.995,                0.99398,                0.15214,                0.11973,                0.77884,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.3161,                0.22428,                0.94571,                0.99943,                      1,                  0.995,                0.99442,                  0.157,                0.14804,                0.78141,             0.00059429,             0.00059429,             0.00059429
                     67,                0.30795,                0.21461,                0.94443,                0.99943,                      1,                  0.995,                0.99396,                0.17708,                0.13502,                0.79987,             0.00057778,             0.00057778,             0.00057778
                     68,                0.30355,                0.21581,                0.94456,                0.99951,                      1,                  0.995,                0.99409,                0.15621,                0.13585,                0.78082,             0.00056128,             0.00056128,             0.00056128
                     69,                0.30634,                 0.2179,                 0.9405,                0.99941,                      1,                  0.995,                 0.9946,                0.16892,                0.13586,                0.79038,             0.00054478,             0.00054478,             0.00054478
                     70,                0.30751,                0.21776,                0.94209,                0.99928,                      1,                  0.995,                0.99374,                0.15791,                0.11478,                0.78427,             0.00052827,             0.00052827,             0.00052827
                     71,                0.29573,                0.21307,                0.93158,                0.99944,                      1,                  0.995,                0.99469,                0.15554,                0.13146,                0.78895,             0.00051177,             0.00051177,             0.00051177
                     72,                0.30183,                0.21498,                0.93763,                0.99954,                      1,                  0.995,                 0.9946,                0.16435,                0.12931,                0.78595,             0.00049527,             0.00049527,             0.00049527
                     73,                0.30337,                0.21262,                0.93912,                0.99949,                      1,                  0.995,                0.99423,                0.15659,                0.12616,                0.78135,             0.00047876,             0.00047876,             0.00047876
                     74,                0.29771,                0.21216,                0.93462,                0.99951,                    0.5,                 0.4975,                0.48899,                 1.0529,                 1.5132,                 1.6355,             0.00046226,             0.00046226,             0.00046226
                     75,                0.30189,                0.20901,                0.93601,                 0.9994,                      1,                  0.995,                0.99476,                0.15072,                0.11592,                0.78043,             0.00044576,             0.00044576,             0.00044576
                     76,                0.31304,                0.21652,                0.94457,                0.99952,                      1,                  0.995,                0.99401,                0.14655,                0.10618,                0.77833,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.2907,                0.20209,                0.92622,                0.99945,                      1,                  0.995,                0.99411,                0.15156,                0.12529,                0.78141,             0.00041275,             0.00041275,             0.00041275
                     78,                0.29816,                0.20831,                0.94058,                 0.9995,                      1,                  0.995,                0.99473,                0.17136,                0.16214,                0.79612,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.3046,                 0.2106,                0.93697,                0.99956,                      1,                  0.995,                0.99415,                0.15835,                0.12544,                0.78731,             0.00037974,             0.00037974,             0.00037974
                     80,                0.29786,                0.20964,                0.93293,                 0.9994,                      1,                  0.995,                 0.9944,                0.16186,                0.14375,                0.78505,             0.00036324,             0.00036324,             0.00036324
                     81,                0.29216,                0.19755,                 0.9282,                0.99947,                      1,                  0.995,                0.99477,                0.15682,                0.12325,                0.78801,             0.00034674,             0.00034674,             0.00034674
                     82,                0.28787,                0.19782,                0.93088,                0.99956,                      1,                  0.995,                0.99409,                0.15016,                0.11706,                0.77838,             0.00033023,             0.00033023,             0.00033023
                     83,                0.29124,                0.19616,                0.92596,                0.99955,                      1,                  0.995,                0.99409,                0.14131,                0.10869,                0.77369,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.2861,                0.20269,                0.93248,                0.99905,                      1,                  0.995,                0.99405,                0.14368,                0.10335,                0.77566,             0.00029723,             0.00029723,             0.00029723
                     85,                0.28799,                0.19732,                 0.9336,                0.99946,                      1,                  0.995,                 0.9943,                0.15805,                0.10938,                0.78487,             0.00028072,             0.00028072,             0.00028072
                     86,                0.29135,                 0.1968,                0.93077,                0.99942,                      1,                  0.995,                0.99432,                0.14672,                0.10966,                 0.7795,             0.00026422,             0.00026422,             0.00026422
                     87,                0.28967,                0.19915,                0.92976,                 0.9995,                      1,                  0.995,                0.99417,                0.15725,                0.11053,                0.77982,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.2825,                 0.1956,                0.92519,                 0.9994,                      1,                  0.995,                0.99417,                 0.1431,                0.10413,                0.77597,             0.00023121,             0.00023121,             0.00023121
                     89,                0.28569,                0.19504,                0.92425,                0.99941,                      1,                  0.995,                0.99417,                0.15355,                0.10759,                0.77997,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.2774,                0.18773,                0.92211,                0.99938,                      1,                  0.995,                0.99457,                0.14445,                0.11021,                0.77365,             0.00019821,             0.00019821,             0.00019821
                     91,                0.16029,                0.16131,                0.82988,                0.99939,                      1,                  0.995,                0.99427,                0.15181,                0.10899,                0.77912,              0.0001817,              0.0001817,              0.0001817
                     92,                0.16781,                0.16965,                0.83388,                0.99931,                      1,                  0.995,                0.99432,                0.16108,                0.12917,                0.79424,              0.0001652,              0.0001652,              0.0001652
                     93,                0.16615,                0.16688,                0.83972,                0.99932,                      1,                  0.995,                0.99421,                0.15288,                0.11288,                0.78049,              0.0001487,              0.0001487,              0.0001487
                     94,                0.15998,                0.15999,                0.82723,                0.99946,                      1,                  0.995,                0.99436,                0.14545,                0.10974,                0.77851,             0.00013219,             0.00013219,             0.00013219
                     95,                0.15767,                0.14921,                0.82213,                0.99947,                      1,                  0.995,                0.99427,                0.14666,                0.10304,                0.77783,             0.00011569,             0.00011569,             0.00011569
                     96,                0.15544,                0.15142,                0.82008,                0.99945,                      1,                  0.995,                0.99401,                 0.1411,                0.10042,                0.77557,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.1522,                0.14727,                 0.8277,                0.99953,                      1,                  0.995,                 0.9941,                0.14323,                0.09457,                0.77525,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.15015,                0.14559,                0.82162,                0.99947,                      1,                  0.995,                  0.994,                0.13894,                0.09224,                0.77219,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.1464,                0.13371,                0.81204,                0.99956,                      1,                  0.995,                0.99407,                0.13907,                0.09142,                0.77108,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.14591,                0.13172,                0.81689,                0.99955,                      1,                  0.995,                0.99415,                0.14017,                0.08931,                0.77294,             3.3173e-05,             3.3173e-05,             3.3173e-05
